shopId,unitId,wing,name,nameSign,phone,address,category,shopStatus,source,matchMethod,verifiedAt,notes
S057,ST-2-2-213,서관,아이윌24시동물병원,아이월24시동물병원,02-6925-7021,"서울특별시 서초구 잠원로4길 50, 메이플자이상가 서관 2층 213호",의료,open,public,unit-exact,,포털·안내에 서관 2-213. 상호 아이윌/아이월
S058,ML-4-현피티,미확인,현피티,,,"서울특별시 서초구 잠원로4길 50, 4층 4…",생활,open,portal,floor-name,,이미지 4층 4… 잘림. 호수·동서 미확인
S059,ML-4-1-41x,동관,원성진헤어,,,"서울특별시 서초구 잠원로4길 50, 1-41…",생활,open,portal,unit-partial,,이미지 1-41… 잘림(동관 4층). 인허가 주소는 나루터로 표기도 있어 현장 확인
S060,ML-3-2-301,서관,모아르헤어,,0504-2538-8266,"서울특별시 서초구 잠원로4길 50, 3층 2-301호",생활,open,portal,unit-exact,,블로그·포털 2-301. 당근 전화
S061,ML-4-갤러리아,서관,갤러리아피부과의원 메이플관,,02-591-1240,"서울특별시 서초구 잠원로4길 50, 메이플자이 상가 서관 4층",의료,open,public,floor-name,,공식 오시는길. 호수 미기재. 본관(스타빌딩)은 제외
S062,ML-3-2-물든,서관,바레스튜디오 물든,,,"서울특별시 서초구 잠원로4길 50, 3층 2…",생활,open,portal,unit-partial,,이미지 3층 2… 잘림
S063,ML-5-1-505,동관,메종포인트발레학원,,,"서울특별시 서초구 잠원로4길 50, 1-505호·1-506호",교육,open,public,unit-exact,,학원 등록 주소. 이미지 1-50…
S064,ML-B1-본죽,미확인,본죽&비빔밥 잠원역점,,02-537-6288,"서울특별시 서초구 잠원로4길 50, 지하1층",음식,open,portal,floor-name,,이미지 지하1…. 호수·동서 미확인
S065,ML-5-1-503,동관,페리오치과의원,,02-571-2875,"서울특별시 서초구 잠원로4길 50, 1동 5층 503~504호",의료,open,public,unit-exact,,병원 공개주소
S066,ML-3-307,서관,이화양내과의원,,02-595-7505,"서울특별시 서초구 잠원로4길 50, 2동 307~310호",의료,open,public,unit-exact,,병원 공개주소. 이미지 2동
S067,ST-1-2-라쿠치,서관,라쿠치 잠원점,,,"서울특별시 서초구 잠원로4길 50, 1층 2…",음식,open,portal,unit-partial,,이미지 1층 2… 잘림
S068,ML-3-2-313,서관,히크헤어,heeq,,"서울특별시 서초구 잠원로4길 50, 메이플자이상가 서관 313호",생활,open,portal,unit-exact,,방문 후기 주소. 상호 heeq/히크헤어
S069,ML-B1-1-B109,동관,로데오안경원 잠원점,,,"서울특별시 서초구 잠원로4길 50, 지하1층 B109",생활,open,public,unit-exact,,공식 매장안내. 휴대폰은 공개 목록에 넣지 않음
S070,ML-B1-레드바틀,미확인,레드바틀 잠원점,,,"서울특별시 서초구 잠원로4길 50, 지하1층",생활,open,portal,floor-name,,이미지 지하1…. 호수·동서 미확인
S071,ML-4-1-411,동관,이렘아트스튜디오,,,"서울특별시 서초구 잠원로4길 50, 1-411호",교육,open,public,unit-exact,,학원 등록 주소. 이미지 동관
S072,ML-1-1-106,동관,헤라스아트,,,"서울특별시 서초구 잠원로4길 50, 동관 106호",생활,open,portal,unit-exact,,전시 안내 동관 106호. 이미지 동관
S073,ST-1-2-아이스무빙,서관,아이스무빙 메이플자이점,,,"서울특별시 서초구 잠원로4길 50, 2동 1층",생활,open,portal,floor-name,,이미지 2동 1…. 호수 미확인. 당근 이 주소
S074,ML-B1-만만마켓,미확인,만만마켓 잠원메이플자이점,,,"서울특별시 서초구 잠원로4길 50, 지하1층",생활,open,portal,floor-name,,이미지 지하1…. 호수·동서 미확인
S075,ML-5-2-510,서관,한체대웅비태권도,,,"서울특별시 서초구 잠원로4길 50, 메이플자이상가 서관 2-510호",교육,open,public,unit-exact,,사업자·채용공고 주소. 줄넘기 병행
S076,ML-B1-2-멜티드,서관,멜티드하우스,,,"서울특별시 서초구 잠원로4길 50, 2동 B…",음식,open,portal,unit-partial,,이미지 2동 b…. 호수 잘림
S077,ST-1-2-메이플탑,서관,메이플탑공인중개사사무소,,02-534-7002,"서울특별시 서초구 잠원로4길 50, 1층 2…",부동산,open,portal,unit-partial,,이미지 1층 2…. 매물광고에 125호 표기·강남일등(2-125)과 중복 가능
S078,ST-2-2-215,서관,그림담,그림담미술교습소,,"서울특별시 서초구 잠원로4길 50, 2-215호",교육,open,public,unit-exact,,학원 등록 2-215. 이미지 60-3
S079,ST-2-2-206,서관,선일금고,선일금고 강남점,02-566-9801,"서울특별시 서초구 잠원로4길 50, 서관 2-206호",생활,open,public,unit-exact,,판매점 안내 서관 2-206. 이미지 서관
S080,ST-1-2-반포메이플,서관,반포메이플자이공인중개사사무소,,,"서울특별시 서초구 잠원로4길 50, 1층 2…",부동산,open,portal,unit-partial,,이미지 1층 2…. 호수 잘림
S081,ML-B1-메이플원,미확인,메이플원공인중개사사무소,,,"서울특별시 서초구 잠원로4길 50, 지하1층",부동산,open,portal,floor-name,,이미지 지하1…. 호수·동서 미확인
S082,ST-1-2-110,서관,화신메이플자이공인중개사사무소,,02-535-8585,"서울특별시 서초구 잠원로4길 50, 1층 2-110호",부동산,open,public,unit-exact,,매물 광고 등록주소. 이미지 60-3
S083,ST-1-2-메이플KS,서관,메이플KS공인중개사사무소,,,"서울특별시 서초구 잠원로4길 50, 1층 2…",부동산,open,portal,unit-partial,,이미지 1층 2…. 호수 잘림
S084,ML-3-1-304,동관,아비다선앤컴퍼니,,,"서울특별시 서초구 잠원로4길 50, 1동 304호",생활,open,portal,unit-exact,,이미지 1동 304. 아비다선살롱과 동일 가능
S085,ST-1-2-반메자,서관,반메자공인중개사사무소,,,"서울특별시 서초구 잠원로4길 50, 2동 1…",부동산,open,portal,unit-partial,,이미지 2동 1…. 호수 잘림
S086,ST-1-2-단지내메이플,서관,단지내메이플공인중개사사무소,,,"서울특별시 서초구 잠원로4길 50, 2동 1층 1…",부동산,open,portal,unit-partial,,이미지 2동 1층 1…. 국민(2-123)과 별개 가능
S087,ML-3-1-오벳,동관,오벳서울,,,"서울특별시 서초구 잠원로4길 50, 3층 1…",생활,open,portal,unit-partial,,이미지 3층 1…. 호수 잘림. 귀금속·시계
