kind,oldName,oldHo,newName,newHo,note
호수변경,반포대성,지하 114호(규칙 예외),반포대성,2-B114,안내도 B114
호수변경,현중세무회계,층·호 미확인,현중세무회계,2-517~518,
호수변경,라라피아노,층·호 미확인,라라피아노교습소,2-217,
호수변경,좋은공인중개사,층·호 미확인,좋은부동산,2-121-1,
호수변경,전가미학1922,층·호 미확인,전가미학1922,2-119-1,
호수변경,부자공인중개사,층·호 미확인,부자부동산,2-111,
호수변경,메이플공인중개사,층·호 미확인,메이플공인중개사사무소,2-116,
호수변경,신화공인중개사,층·호 미확인,신화부동산,2-B102,
호수변경,메이플퀸단지내,층·호 미확인,메이플퀸,동관 1-105-1,
호수변경,태양공인중개사,층·호 미확인,태양부동산,2-106,
안내도없음,제이티리,2-B119 추정,,,샐러링과 호수 중복 의심 → 미확인으로 내림
안내도없음,와인앤모어 데일리,이마트 내,,,안내도 미표기
안내도없음,애프터,지하 서관,,,안내도 미표기
안내도없음,반메자·메이플KS·반포프로·KB·대성(반포대성 외),,,,안내도 미표기
안내도없음,아이스무빙,서관 1층,,,안내도 미표기
